t,Denmark,Estonia,Finland,Latvia,Lithuania,Sweden,Norway
01/01/2030 00:00:00,0.433611,0.299127,0.377018,0.338337,0.404795,0.439508,0.665775
01/01/2030 01:00:00,0.443815,0.319323,0.400723,0.360656,0.429,0.448009,0.647299
01/01/2030 02:00:00,0.473224,0.360262,0.445926,0.409639,0.480175,0.47463,0.635493
01/01/2030 03:00:00,0.536379,0.47571,0.583177,0.543946,0.634624,0.522524,0.628461
01/01/2030 04:00:00,0.711704,0.563046,0.698179,0.644282,0.771784,0.682208,0.629293
01/01/2030 05:00:00,0.843881,0.544487,0.67194,0.619198,0.733057,0.836699,0.637235
01/01/2030 06:00:00,0.812871,0.543122,0.670954,0.615248,0.722914,0.797692,0.651417
01/01/2030 07:00:00,0.806869,0.522107,0.643025,0.592139,0.693638,0.788421,0.661821
01/01/2030 08:00:00,0.775859,0.499727,0.615988,0.567845,0.665745,0.753376,0.668805
01/01/2030 09:00:00,0.743581,0.480349,0.593175,0.545921,0.640848,0.721908,0.674681
01/01/2030 10:00:00,0.715038,0.468886,0.578014,0.533478,0.624712,0.695288,0.662376
01/01/2030 11:00:00,0.698099,0.462336,0.567358,0.525183,0.612494,0.675553,0.645411
01/01/2030 12:00:00,0.686229,0.467522,0.572475,0.531503,0.617105,0.66282,0.633619
01/01/2030 13:00:00,0.693898,0.473526,0.580267,0.538416,0.627478,0.666051,0.632367
01/01/2030 14:00:00,0.702367,0.490721,0.599981,0.558562,0.651913,0.678631,0.638281
01/01/2030 15:00:00,0.727843,0.500546,0.611857,0.570018,0.666436,0.702789,0.65628
01/01/2030 16:00:00,0.742714,0.498908,0.607538,0.569228,0.661826,0.718369,0.669423
01/01/2030 17:00:00,0.741247,0.492085,0.600544,0.562315,0.656293,0.709944,0.677688
01/01/2030 18:00:00,0.732444,0.474072,0.57853,0.541971,0.634624,0.704636,0.686294
01/01/2030 19:00:00,0.706035,0.429039,0.525347,0.489631,0.576763,0.681477,0.692257
01/01/2030 20:00:00,0.638079,0.351255,0.439683,0.400356,0.482019,0.623081,0.697556
01/01/2030 21:00:00,0.522774,0.296124,0.37378,0.335374,0.404334,0.528794,0.706846
01/01/2030 22:00:00,0.43928,0.340338,0.437242,0.362038,0.423006,0.448279,0.640379
01/01/2030 23:00:00,0.435945,0.345251,0.434754,0.368161,0.423467,0.461319,0.651346
02/01/2030 00:00:00,0.444815,0.354258,0.441466,0.378037,0.431074,0.46155,0.68153
02/01/2030 01:00:00,0.456952,0.375273,0.460336,0.400356,0.450899,0.469975,0.706254
02/01/2030 02:00:00,0.484828,0.418941,0.491363,0.451511,0.492623,0.492133,0.723874
02/01/2030 03:00:00,0.548983,0.547489,0.634716,0.594904,0.647072,0.532949,0.739334
02/01/2030 04:00:00,0.726375,0.662118,0.823883,0.716769,0.828492,0.693403,0.751539
02/01/2030 05:00:00,0.872224,0.634007,0.767978,0.684179,0.772015,0.883208,0.758061
02/01/2030 06:00:00,0.837079,0.634825,0.749624,0.681414,0.752651,0.830852,0.758152
02/01/2030 07:00:00,0.832344,0.610535,0.716204,0.656528,0.72107,0.814387,0.754975
02/01/2030 08:00:00,0.801334,0.586517,0.686679,0.631444,0.692485,0.779188,0.740575
02/01/2030 09:00:00,0.76999,0.564683,0.661425,0.607545,0.666206,0.747067,0.725314
02/01/2030 10:00:00,0.740714,0.551037,0.63758,0.593719,0.645228,0.719446,0.657532
02/01/2030 11:00:00,0.723508,0.539574,0.628286,0.581868,0.633933,0.695634,0.632694
02/01/2030 12:00:00,0.708369,0.547216,0.631712,0.589966,0.63716,0.683093,0.611225
02/01/2030 13:00:00,0.717973,0.553493,0.647578,0.596879,0.651683,0.687825,0.597701
02/01/2030 14:00:00,0.725509,0.573417,0.673817,0.619593,0.680037,0.701673,0.592574
02/01/2030 15:00:00,0.751984,0.581059,0.687054,0.629074,0.69479,0.728717,0.592454
02/01/2030 16:00:00,0.763921,0.581605,0.68006,0.630654,0.689488,0.742335,0.586377
02/01/2030 17:00:00,0.766389,0.571507,0.675929,0.620778,0.685339,0.737296,0.587804
02/01/2030 18:00:00,0.754585,0.5494,0.656543,0.597472,0.665284,0.731064,0.588564
02/01/2030 19:00:00,0.726042,0.49809,0.610777,0.540589,0.613186,0.708521,0.593756
02/01/2030 20:00:00,0.656352,0.416212,0.53098,0.447758,0.522361,0.654549,0.606018
02/01/2030 21:00:00,0.541047,0.353985,0.450291,0.377444,0.437759,0.562493,0.616804
02/01/2030 22:00:00,0.455685,0.386736,0.455642,0.411219,0.402951,0.476822,0.623029
02/01/2030 23:00:00,0.383528,0.387282,0.455126,0.412206,0.406408,0.438161,0.624675
03/01/2030 00:00:00,0.390597,0.39274,0.459867,0.417934,0.412863,0.4412,0.621273
03/01/2030 01:00:00,0.401667,0.408297,0.477,0.435315,0.432918,0.44774,0.606809
03/01/2030 02:00:00,0.426876,0.440775,0.510374,0.474422,0.48225,0.468244,0.593756
03/01/2030 03:00:00,0.491697,0.582697,0.671095,0.628284,0.642923,0.514753,0.575773
03/01/2030 04:00:00,0.667756,0.743723,0.861575,0.802291,0.798064,0.68317,0.559894
03/01/2030 05:00:00,0.793264,0.680131,0.787599,0.734347,0.742047,0.850125,0.536568
03/01/2030 06:00:00,0.755318,0.659934,0.761547,0.711041,0.718534,0.79096,0.522815
03/01/2030 07:00:00,0.734245,0.635371,0.733243,0.684772,0.694329,0.766109,0.513405
03/01/2030 08:00:00,0.709303,0.606441,0.700901,0.655738,0.666436,0.739796,0.512936
03/01/2030 09:00:00,0.679693,0.591157,0.683862,0.636382,0.645689,0.707636,0.542164
03/01/2030 10:00:00,0.659553,0.572871,0.661707,0.617816,0.628631,0.688825,0.545655
03/01/2030 11:00:00,0.641014,0.563865,0.651051,0.608137,0.616413,0.668706,0.565903
03/01/2030 12:00:00,0.628743,0.557314,0.643259,0.603595,0.615952,0.655549,0.576867
03/01/2030 13:00:00,0.63081,0.572052,0.661237,0.618803,0.625173,0.65151,0.588207
03/01/2030 14:00:00,0.636812,0.598799,0.689683,0.64922,0.65491,0.661781,0.6054
03/01/2030 15:00:00,0.666622,0.616812,0.709538,0.667786,0.671969,0.691248,0.62544
03/01/2030 16:00:00,0.686696,0.608079,0.698789,0.659293,0.667589,0.71029,0.644193
03/01/2030 17:00:00,0.689563,0.60726,0.69893,0.65791,0.6639,0.703982,0.658492
03/01/2030 18:00:00,0.681961,0.594432,0.687195,0.643492,0.647303,0.700789,0.668007
03/01/2030 19:00:00,0.66022,0.552129,0.641382,0.595299,0.594514,0.684824,0.680714
03/01/2030 20:00:00,0.601734,0.479803,0.563509,0.512147,0.503227,0.632852,0.693625
03/01/2030 21:00:00,0.488763,0.40393,0.475451,0.4286,0.42024,0.543066,0.702752
03/01/2030 22:00:00,0.404935,0.418668,0.493475,0.492001,0.492393,0.457665,0.670452
03/01/2030 23:00:00,0.424075,0.417303,0.488781,0.488841,0.488935,0.514714,0.677642
04/01/2030 00:00:00,0.435012,0.421124,0.495306,0.495754,0.494698,0.513522,0.687502
04/01/2030 01:00:00,0.44028,0.434771,0.506055,0.509382,0.509221,0.519946,0.692822
04/01/2030 02:00:00,0.470223,0.469705,0.535158,0.545329,0.545874,0.536334,0.691985
04/01/2030 03:00:00,0.542714,0.622544,0.698883,0.712226,0.720148,0.576919,0.702087
04/01/2030 04:00:00,0.729843,0.758188,0.8635,0.883468,0.904795,0.758992,0.705717
04/01/2030 05:00:00,0.820473,0.695142,0.792997,0.812167,0.825496,0.919177,0.707547
04/01/2030 06:00:00,0.775192,0.672489,0.759529,0.78017,0.78746,0.848509,0.708864
04/01/2030 07:00:00,0.763254,0.647107,0.732914,0.752321,0.757031,0.81608,0.717545
04/01/2030 08:00:00,0.738179,0.623635,0.707848,0.727434,0.730751,0.787305,0.726808
04/01/2030 09:00:00,0.711304,0.612445,0.699305,0.713214,0.715537,0.759915,0.732084
04/01/2030 10:00:00,0.692497,0.591157,0.674193,0.689512,0.690641,0.748567,0.717304
04/01/2030 11:00:00,0.674758,0.585426,0.668607,0.683587,0.683495,0.722908,0.713976
04/01/2030 12:00:00,0.665155,0.584334,0.663021,0.679044,0.678423,0.715099,0.710562
04/01/2030 13:00:00,0.673224,0.603712,0.68513,0.701955,0.702628,0.711598,0.715713
04/01/2030 14:00:00,0.684962,0.632915,0.717893,0.73731,0.739742,0.732756,0.734376
04/01/2030 15:00:00,0.712838,0.652293,0.740143,0.759431,0.763716,0.766878,0.762386
04/01/2030 16:00:00,0.734245,0.644105,0.729722,0.749358,0.75242,0.790614,0.784625
04/01/2030 17:00:00,0.735245,0.643013,0.731928,0.750148,0.754726,0.78142,0.80432
04/01/2030 18:00:00,0.726442,0.630731,0.719959,0.736322,0.742508,0.781573,0.819591
04/01/2030 19:00:00,0.705168,0.592249,0.683158,0.692672,0.699631,0.767186,0.828836
04/01/2030 20:00:00,0.644882,0.508188,0.593128,0.596287,0.602121,0.723562,0.840018
04/01/2030 21:00:00,0.52931,0.434498,0.514129,0.510764,0.512218,0.622389,0.85104
04/01/2030 22:00:00,0.443081,0.421124,0.481271,0.509777,0.543107,0.535949,0.85133
04/01/2030 23:00:00,0.480227,0.422216,0.482351,0.509974,0.542877,0.535565,0.849133
05/01/2030 00:00:00,0.48983,0.429312,0.489204,0.51748,0.550254,0.536565,0.844537
05/01/2030 01:00:00,0.500567,0.451419,0.514082,0.541576,0.57515,0.54422,0.840878
05/01/2030 02:00:00,0.53051,0.486081,0.54755,0.578906,0.612033,0.571879,0.840126
05/01/2030 03:00:00,0.594131,0.623635,0.694564,0.736915,0.778469,0.609963,0.837866
05/01/2030 04:00:00,0.776726,0.796124,0.882886,0.943117,1,0.777573,0.83513
05/01/2030 05:00:00,0.938646,0.744269,0.832989,0.883666,0.937759,0.995191,0.833873
05/01/2030 06:00:00,0.895832,0.726528,0.811725,0.858384,0.906639,0.935526,0.830082
05/01/2030 07:00:00,0.881761,0.696779,0.776145,0.821252,0.865837,0.908098,0.823774
05/01/2030 08:00:00,0.853885,0.668122,0.74371,0.789058,0.831489,0.867898,0.820622
05/01/2030 09:00:00,0.819006,0.643832,0.717987,0.760419,0.802444,0.831621,0.802417
05/01/2030 10:00:00,0.785462,0.623362,0.693813,0.73573,0.775242,0.802924,0.760859
05/01/2030 11:00:00,0.767656,0.615993,0.686115,0.728224,0.766713,0.77538,0.725294
05/01/2030 12:00:00,0.755652,0.612172,0.681421,0.723287,0.760719,0.765455,0.688114
05/01/2030 13:00:00,0.757719,0.628821,0.701136,0.746593,0.786077,0.759377,0.652861
05/01/2030 14:00:00,0.766455,0.656114,0.730004,0.780367,0.821577,0.78165,0.622839
05/01/2030 15:00:00,0.797466,0.674945,0.748451,0.800119,0.842093,0.814157,0.588253
05/01/2030 16:00:00,0.818073,0.664574,0.734839,0.785898,0.824804,0.836199,0.574244
05/01/2030 17:00:00,0.816672,0.659389,0.729534,0.781157,0.821116,0.820542,0.565875
05/01/2030 18:00:00,0.806736,0.6381,0.710383,0.762394,0.804979,0.815541,0.564257
05/01/2030 19:00:00,0.774925,0.594432,0.667433,0.713806,0.7568,0.79396,0.567754
05/01/2030 20:00:00,0.709103,0.519651,0.58604,0.622358,0.661826,0.745451,0.565408
05/01/2030 21:00:00,0.595065,0.436954,0.499108,0.527355,0.562702,0.656203,0.567261
05/01/2030 22:00:00,0.499567,0.335153,0.416541,0.445586,0.526049,0.556222,0.562664
05/01/2030 23:00:00,0.435545,0.342249,0.419123,0.446376,0.526049,0.46255,0.559729
06/01/2030 00:00:00,0.447282,0.349891,0.425976,0.453486,0.532503,0.466628,0.564912
06/01/2030 01:00:00,0.457819,0.371998,0.449024,0.476002,0.556247,0.474591,0.576363
06/01/2030 02:00:00,0.487763,0.414301,0.484698,0.513727,0.592669,0.500904,0.57584
06/01/2030 03:00:00,0.551717,0.540666,0.625892,0.666403,0.757722,0.543835,0.571668
06/01/2030 04:00:00,0.72971,0.645197,0.789899,0.859372,0.976487,0.705751,0.56612
06/01/2030 05:00:00,0.865088,0.62036,0.743053,0.796563,0.912863,0.886401,0.543239
06/01/2030 06:00:00,0.832944,0.621725,0.730285,0.776417,0.884048,0.836276,0.529606
06/01/2030 07:00:00,0.828476,0.596616,0.695362,0.73968,0.841402,0.821235,0.5126
06/01/2030 08:00:00,0.796532,0.571779,0.667011,0.711238,0.809129,0.782381,0.498013
06/01/2030 09:00:00,0.763721,0.550491,0.642837,0.684179,0.779622,0.75026,0.484807
06/01/2030 10:00:00,0.734512,0.537118,0.622653,0.662651,0.752651,0.722831,0.469171
06/01/2030 11:00:00,0.717306,0.528111,0.612561,0.65317,0.742508,0.700558,0.460808
06/01/2030 12:00:00,0.704635,0.53357,0.613077,0.651985,0.737898,0.687863,0.458345
06/01/2030 13:00:00,0.712638,0.540939,0.629882,0.673316,0.764177,0.688786,0.452679
06/01/2030 14:00:00,0.721107,0.559771,0.653962,0.703338,0.797833,0.70602,0.450804
06/01/2030 15:00:00,0.746916,0.570415,0.669499,0.721311,0.818349,0.732449,0.4605
06/01/2030 16:00:00,0.761854,0.566867,0.657482,0.707486,0.80106,0.749952,0.458452
06/01/2030 17:00:00,0.760053,0.559771,0.654854,0.706498,0.799447,0.73745,0.459563
06/01/2030 18:00:00,0.75085,0.538483,0.635468,0.68734,0.783541,0.73441,0.472962
06/01/2030 19:00:00,0.723374,0.488264,0.586369,0.634604,0.732135,0.712368,0.494986
06/01/2030 20:00:00,0.653685,0.407205,0.507933,0.548884,0.637621,0.65578,0.515754
06/01/2030 21:00:00,0.537379,0.346343,0.430905,0.460794,0.542646,0.565532,0.538144
06/01/2030 22:00:00,0.452751,0.371452,0.464748,0.409046,0.49539,0.479054,0.516528
06/01/2030 23:00:00,0.421874,0.375,0.465687,0.411614,0.49562,0.466397,0.535247
07/01/2030 00:00:00,0.433211,0.382096,0.472306,0.418724,0.502075,0.470321,0.554364
07/01/2030 01:00:00,0.443548,0.403657,0.495775,0.44045,0.524666,0.478284,0.569739
07/01/2030 02:00:00,0.473291,0.440229,0.528117,0.479755,0.560858,0.504597,0.588016
07/01/2030 03:00:00,0.536112,0.570415,0.675272,0.624728,0.720609,0.547144,0.596844
