id,f_node,t_node,f_area,t_area,length,r
1,1,2,1,2,1006.1459170181739,0.02377019728955436
2,1,3,1,1,1167.1839318317384,0.02757472038952482
3,1,4,1,2,982.0217468737393,0.02320026376989209
4,1,5,1,2,885.5072138388331,0.020920107926942433
5,1,6,1,1,296.1743065937534,0.0069971179932774245
6,1,7,1,1,544.4033171311286,0.012861528367222912
7,2,3,2,1,368.54550224954966,0.008706887490645611
8,2,4,2,2,184.04253086751254,0.004348004791744984
9,2,5,2,2,495.57908492099165,0.011708055881258428
10,2,6,2,1,721.2171064596196,0.01703875414010851
11,2,7,2,1,997.8756715748605,0.02357481274095608
12,3,4,1,2,552.2666746255544,0.013047300188028722
13,3,5,1,2,859.9421339976681,0.02031613291569491
14,3,6,1,1,925.9629565801181,0.02187587484920529
15,3,7,1,1,971.0475867678716,0.022940999237390968
16,4,5,2,2,322.0535635210788,0.007608515438185487
17,4,6,2,1,686.3478443051843,0.016214967821709978
18,4,7,2,1,1071.6775662544076,0.025318382502760375
19,5,6,2,1,606.8015388405662,0.014335686355108377
20,5,7,2,1,1139.1704015357877,0.026912900736282986
21,6,7,1,1,605.2832786524723,0.014299817458164658
