t,Denmark,Estonia,Finland,Latvia,Lithuania,Sweden,Norway
01/01/2030 00:00,5372.961426,960.7495117,14796.03418,955.43396,1351.4978,18708.85156,21772.13721
01/01/2030 01:00,5302.013428,951.7236328,14667.20508,918.038086,1354.19543,18564.13416,21547.69946
01/01/2030 02:00,5268.592041,949.5793457,14581.06055,901.670532,1322.30237,18542.53955,21441.35522
01/01/2030 03:00,5277.444824,947.3919678,14525.4668,898.063904,1328.60034,18520.61523,21406.77441
01/01/2030 04:00,5347.334229,972.6311035,14967.29102,903.790466,1359.10632,18536.81592,21299.8418
01/01/2030 05:00,5622.472168,1024.78772,15264.54297,917.916626,1419.24536,19235.26331,21514.59302
01/01/2030 06:00,6032.738281,1094.401367,15534.62305,1029.01538,1491.64551,20306.40015,22277.23169
01/01/2030 07:00,6332.254639,1154.72937,15633.49414,1067.89807,1587.40942,20889.37195,23013.86499
01/01/2030 08:00,6504.085938,1194.897583,15687.06445,1150.1615,1659.00122,21270.00024,23764.48999
01/01/2030 09:00,6606.87793,1210.675171,15727.72852,1208.00745,1689.13721,21618.89026,24656.56836
01/01/2030 10:00,6599.853271,1206.343018,15747.05273,1225.2782,1699.11133,21743.80981,25227.37012
01/01/2030 11:00,6530.224854,1214.002075,15708.8418,1233.97913,1691.70984,21733.5918,25412.65234
01/01/2030 12:00,6505.937256,1214.628662,15728.64844,1212.66418,1682.94153,21715.68848,25518.69751
01/01/2030 13:00,6505.219238,1235.790894,15899.64648,1226.28027,1689.0791,21826.53149,25710.54053
01/01/2030 14:00,6567.435547,1284.271973,16128.89648,1240.43982,1765.87915,22344.60278,26066.49316
01/01/2030 15:00,6911.311035,1312.835327,16311.15625,1382.42566,1850.14026,22977.48218,26513.18799
01/01/2030 16:00,7343.651855,1316.153564,16384.18555,1310.10291,1845.6814,23537.58337,26541.31006
01/01/2030 17:00,7221.242676,1299.315674,16465.56055,1334.20984,1798.42188,23449.64978,26029.89648
01/01/2030 18:00,6888.841064,1257.621826,16364.4082,1331.73022,1732.53479,23001.77417,25356.40112
01/01/2030 19:00,6532.001709,1207.053467,15882.96289,1285.37573,1668.29822,22299.86914,24823.18262
01/01/2030 20:00,6199.277344,1139.453491,16148.67578,1230.99426,1588.14917,21487.8573,24384.91895
01/01/2030 21:00,5878.628174,1073.189941,16076.18359,1170.9895,1500.85925,20634.08398,23826.01807
01/01/2030 22:00,5633.89502,1018.534485,15670.02441,1084.91711,1417.39099,19869.37378,23219.16504
01/01/2030 23:00,5434.271729,984.1089478,15346.97363,1012.94214,1364.82349,19345.90649,22723.64282
02/01/2030 00:00,5625.550781,1045.459106,15806.99316,995.687012,1341.11621,19209.11914,22655.32935
02/01/2030 01:00,5555.688721,1040.780762,15756.56738,959.223328,1318.90784,19077.44141,22410.4729
02/01/2030 02:00,5548.634521,1049.697754,15902.17773,948.782654,1328.37878,19069.18469,22357.53979
02/01/2030 03:00,5622.193359,1085.478882,16378.14941,971.866943,1382.02661,19267.56848,22558.68188
02/01/2030 04:00,5905.299072,1209.325439,17408.50391,1031.16772,1566.72949,19939.60693,23382.13867
02/01/2030 05:00,6667.502686,1362.699219,17874.49609,1141.44922,1750.93115,21207.74951,25130.11572
02/01/2030 06:00,7501.436035,1470.105713,18021.96094,1288.07349,1882.67407,22337.50208,26963.70435
02/01/2030 07:00,7837.451904,1497.347778,17912.76367,1431.19873,1962.2373,22824.82959,27736.93555
02/01/2030 08:00,7894.962158,1487.552246,17799.92969,1518.10522,1994.68347,23116.4176,28097.9939
02/01/2030 09:00,7955.186035,1474.346436,17746.10938,1550.34155,1999.65796,23329.69934,28523.54077
02/01/2030 10:00,7884.997559,1441.544678,17686.35547,1551.24536,1981.51013,23362.44861,28733.82837
02/01/2030 11:00,7718.980957,1459.343506,17581.6875,1539.70947,1989.24597,23276.90979,28673.29834
02/01/2030 12:00,7665.881836,1447.154663,17539.96484,1531.63208,1975.06885,23198.01587,28541.35742
02/01/2030 13:00,7559.62793,1458.349976,17619.03125,1534.27588,1966.76807,23217.17554,28468.45313
02/01/2030 14:00,7458.834473,1483.72168,17782.17578,1530.97498,1998.53076,23492.43591,28512.22998
02/01/2030 15:00,7676.035156,1502.951172,17944.57031,1528.69165,2038.94141,23931.58142,28624.60962
02/01/2030 16:00,8214.135742,1499.441895,18033.91797,1535.78394,2032.927,24212.70947,28432.82764
02/01/2030 17:00,8151.962402,1465.666992,18145.19531,1530.75269,1994.90405,23978.349,27814.38599
02/01/2030 18:00,7776.180908,1415.998291,17933.05469,1503.76758,1934.42358,23483.79822,27032.55762
02/01/2030 19:00,7347.247559,1349.942627,17211.69531,1446.48853,1839.5498,22757.10669,26334.00488
02/01/2030 20:00,6963.565918,1258.989258,17351.98828,1372.48657,1687.2782,21897.71338,25665.74097
02/01/2030 21:00,6524.778809,1170.840332,17144.54297,1283.39124,1545.01758,20945.28687,24746.53711
02/01/2030 22:00,6140.464355,1102.756714,16618.76367,1167.47656,1440.33252,20118.7981,23692.53442
02/01/2030 23:00,5845.836426,1067.093628,16233.35352,1067.57349,1379.02393,19578.18994,22889.8728
03/01/2030 00:00,5591.65332,1085.390015,16065.13086,1048.41931,1327.05737,18669.0188,21918.33276
03/01/2030 01:00,5541.584961,1079.208252,16055.91602,1011.82312,1310.45605,18479.62903,21699.35376
03/01/2030 02:00,5559.526855,1088.677979,16253.60547,1001.94061,1310.28772,18346.00732,21676.22363
03/01/2030 03:00,5726.984863,1133.837524,16808.10156,1026.68738,1360.41492,18325.38965,21872.29248
03/01/2030 04:00,6241.644531,1257.712646,17763.39453,1089.40686,1542.97632,18562.32043,22579.48779
03/01/2030 05:00,7082.422852,1406.343506,18158.41406,1202.00891,1731.63428,19565.36841,24229.72681
03/01/2030 06:00,7784.39502,1509.274658,18242.18555,1349.99255,1868.06812,20818.93262,26105.48682
03/01/2030 07:00,8063.148926,1538.850586,18105.95313,1493.29004,1952.9353,21532.13159,26861.6626
03/01/2030 08:00,8179.435791,1534.450317,17980.75977,1580.06116,1991.31702,22000.95569,27137.46069
03/01/2030 09:00,8216.923584,1522.677734,17914.00391,1612.10864,1999.99524,22384.20459,27470.29248
03/01/2030 10:00,8122.981934,1499.456787,17840.20703,1613.70898,1984.62256,22536.30652,27590.66064
03/01/2030 11:00,8008.51709,1511.865967,17737.48438,1604.12061,1992.98975,22531.37061,27473.78516
03/01/2030 12:00,7910.277832,1499.380371,17689.26563,1595.27637,1978.87842,22490.11133,27318.93823
03/01/2030 13:00,7763.249512,1503.831787,17734.05664,1598.50732,1971.92407,22516.26294,27259.8186
03/01/2030 14:00,7705.064941,1520.906616,17865.51563,1597.83215,2010.54639,22837.4397,27313.71606
03/01/2030 15:00,8023.813477,1533.517334,18013.91797,1598.01392,2054.98486,23232.9248,27490.19556
03/01/2030 16:00,8357.012207,1529.374878,18106.25586,1607.87988,2038.99609,23450.73743,27470.06421
03/01/2030 17:00,8154.358398,1501.582886,18172.63867,1600.64954,1985.56958,23137.09534,27093.3728
03/01/2030 18:00,7756.869141,1457.522583,17920.78906,1568.89331,1916.75061,22660.42761,26522.59229
03/01/2030 19:00,7328.611816,1392.543335,17290.37109,1505.35938,1825.38916,22100.95325,25924.9458
03/01/2030 20:00,6886.91626,1300.669922,17334.79492,1427.2467,1683.83008,21479.16455,25297.34717
03/01/2030 21:00,6391.595215,1211.15332,17094.09961,1337.55298,1542.47412,20674.48755,24403.16211
03/01/2030 22:00,5999.419434,1144.036865,16628.73828,1222.03491,1432.94727,19889.55029,23375.29492
03/01/2030 23:00,5721.663086,1108.205078,16299.89453,1122.36353,1367.34839,19328.54858,22605.08545
04/01/2030 00:00,5629.699219,1091.371704,16091.86523,1082.53149,1374.36719,20151.95044,22250.06543
04/01/2030 01:00,5563.447021,1084.459106,16047.04102,1046.0155,1356.52905,19980.22742,21974.56348
04/01/2030 02:00,5565.067383,1092.381958,16187.1084,1037.01013,1360.28027,19919.8877,21928.50488
04/01/2030 03:00,5684.831543,1133.321289,16637.5,1065.94556,1414.98975,19980.60046,22139.58618
04/01/2030 04:00,6093.321777,1258.921875,17618.56641,1136.21167,1604.84192,20360.5918,22916.24902
04/01/2030 05:00,6932.881592,1412.188232,18057.49219,1262.87573,1794.97864,21507.04907,24729.41577
04/01/2030 06:00,7752.644287,1519.007324,18191.39258,1423.20398,1920.40796,22809.18127,26791.63379
04/01/2030 07:00,8096.789551,1548.253906,18085.5918,1574.21362,1998.5437,23476.84595,27720.8147
04/01/2030 08:00,8206.3125,1542.17041,17969.42969,1662.03101,2036.36414,23895.85583,28178.95117
04/01/2030 09:00,8271.486572,1530.526733,17907.55469,1690.38477,2045.31592,24239.69287,28666.93896
04/01/2030 10:00,8200.764648,1503.490845,17842.04688,1689.76782,2029.43433,24350.14258,28852.86279
04/01/2030 11:00,8069.769531,1518.871704,17734.75781,1675.98438,2037.93872,24306.94604,28753.78247
04/01/2030 12:00,7999.741211,1506.546631,17688.95898,1668.96411,2026.27319,24254.40967,28606.70581
04/01/2030 13:00,7872.155273,1514.181641,17753.08984,1669.76831,2026.02307,24308.33179,28581.38696
04/01/2030 14:00,7790.734863,1535.284668,17899.58594,1663.76843,2085.20068,24708.75818,28726.81567
04/01/2030 15:00,8076.519775,1548.097656,18062.23047,1659.45813,2150.37061,25235.05347,29036.18921
04/01/2030 16:00,8522.969727,1540.722656,18174,1661.60864,2131.77466,25616.80005,29043.35449
04/01/2030 17:00,8370.081543,1508.222656,18314.03516,1652.35791,2063.20532,25390.02075,28592.27881
04/01/2030 18:00,7960.105957,1462.456299,18129.92773,1620.82544,1975.83032,24880.52161,27894.35815
04/01/2030 19:00,7512.574463,1399.895996,17444.54297,1559.0647,1866.14771,24165.85706,27161.5647
04/01/2030 20:00,7086.091553,1310.093384,17584.95117,1479.12939,1717.13696,23326.94238,26372.28809
