t,Denmark,Estonia,Finland,Latvia,Lithuania,Sweden,Norway
01/01/2030 00:00,0,0,0,0,0,0,0
01/01/2030 01:00,0,0,0,0,0,0,0
01/01/2030 02:00,0,0,0,0,0,0,0
01/01/2030 03:00,0,0,0,0,0,0,0
01/01/2030 04:00,0,0,0,0,0,0,0
01/01/2030 05:00,0,0,0,0,0,0,0
01/01/2030 06:00,0,0,0,0,0,0,0
01/01/2030 07:00,0,0,0,0,0,0,0
01/01/2030 08:00,0,0.02366,0,0.121705,0.064195,0,0
01/01/2030 09:00,0.086908,0.244766,0.079369,0.288076,0.183705,0.071819,0.0000862
01/01/2030 10:00,0.165931,0.312511,0.150306,0.381369,0.282993,0.189976,0.069205
01/01/2030 11:00,0.20931,0.313065,0.14656,0.376938,0.322997,0.244007,0.118577
01/01/2030 12:00,0.209575,0.236821,0.0625,0.286992,0.291006,0.208842,0.118553
01/01/2030 13:00,0.165322,0.00592,0,0.101853,0.171674,0.105756,0.071034
01/01/2030 14:00,0.071959,0,0,0,0,0.00954,0.000541
01/01/2030 15:00,0,0,0,0,0,0,0
01/01/2030 16:00,0,0,0,0,0,0,0
01/01/2030 17:00,0,0,0,0,0,0,0
01/01/2030 18:00,0,0,0,0,0,0,0
01/01/2030 19:00,0,0,0,0,0,0,0
01/01/2030 20:00,0,0,0,0,0,0,0
01/01/2030 21:00,0,0,0,0,0,0,0
01/01/2030 22:00,0,0,0,0,0,0,0
01/01/2030 23:00,0,0,0,0,0,0,0
02/01/2030 00:00,0,0,0,0,0,0,0
02/01/2030 01:00,0,0,0,0,0,0,0
02/01/2030 02:00,0,0,0,0,0,0,0
02/01/2030 03:00,0,0,0,0,0,0,0
02/01/2030 04:00,0,0,0,0,0,0,0
02/01/2030 05:00,0,0,0,0,0,0,0
02/01/2030 06:00,0,0,0,0,0,0,0
02/01/2030 07:00,0,0,0,0,0,0,0
02/01/2030 08:00,0,0.0242,0,0.091827,0.143028,0,0
02/01/2030 09:00,0.163006,0.22864,0.072513,0.209284,0.262836,0.084795,0.000928
02/01/2030 10:00,0.282218,0.302397,0.123113,0.290017,0.319019,0.182843,0.13547
02/01/2030 11:00,0.34272,0.290736,0.10505,0.314619,0.320163,0.211216,0.187003
02/01/2030 12:00,0.334083,0.197991,0.037824,0.255761,0.262167,0.177371,0.181587
02/01/2030 13:00,0.257167,0.004514,0,0.093175,0.143881,0.104646,0.123509
02/01/2030 14:00,0.121497,0,0,0,0,0.011458,0.010273
02/01/2030 15:00,0,0,0,0,0,0,0
02/01/2030 16:00,0,0,0,0,0,0,0
02/01/2030 17:00,0,0,0,0,0,0,0
02/01/2030 18:00,0,0,0,0,0,0,0
02/01/2030 19:00,0,0,0,0,0,0,0
02/01/2030 20:00,0,0,0,0,0,0,0
02/01/2030 21:00,0,0,0,0,0,0,0
02/01/2030 22:00,0,0,0,0,0,0,0
02/01/2030 23:00,0,0,0,0,0,0,0
03/01/2030 00:00,0,0,0,0,0,0,0
03/01/2030 01:00,0,0,0,0,0,0,0
03/01/2030 02:00,0,0,0,0,0,0,0
03/01/2030 03:00,0,0,0,0,0,0,0
03/01/2030 04:00,0,0,0,0,0,0,0
03/01/2030 05:00,0,0,0,0,0,0,0
03/01/2030 06:00,0,0,0,0,0,0,0
03/01/2030 07:00,0,0,0,0,0,0,0
03/01/2030 08:00,0,0.028351,0,0.101924,0.020572,0,0
03/01/2030 09:00,0.103044,0.244657,0.081234,0.20602,0.054299,0.02951,0.001249
03/01/2030 10:00,0.154707,0.326626,0.138674,0.259691,0.075574,0.064636,0.119936
03/01/2030 11:00,0.145146,0.326638,0.129015,0.272444,0.075387,0.081678,0.189269
03/01/2030 12:00,0.112328,0.24555,0.062977,0.221581,0.058125,0.067446,0.188809
03/01/2030 13:00,0.081428,0.0119,0,0.085145,0.027475,0.025207,0.124451
03/01/2030 14:00,0.029701,0,0,0,0,0.000011,0.013006
03/01/2030 15:00,0,0,0,0,0,0,0
03/01/2030 16:00,0,0,0,0,0,0,0
03/01/2030 17:00,0,0,0,0,0,0,0
03/01/2030 18:00,0,0,0,0,0,0,0
03/01/2030 19:00,0,0,0,0,0,0,0
03/01/2030 20:00,0,0,0,0,0,0,0
03/01/2030 21:00,0,0,0,0,0,0,0
03/01/2030 22:00,0,0,0,0,0,0,0
03/01/2030 23:00,0,0,0,0,0,0,0
04/01/2030 00:00,0,0,0,0,0,0,0
04/01/2030 01:00,0,0,0,0,0,0,0
04/01/2030 02:00,0,0,0,0,0,0,0
04/01/2030 03:00,0,0,0,0,0,0,0
04/01/2030 04:00,0,0,0,0,0,0,0
04/01/2030 05:00,0,0,0,0,0,0,0
04/01/2030 06:00,0,0,0,0,0,0,0
04/01/2030 07:00,0,0,0,0,0,0,0
04/01/2030 08:00,0,0.015934,0,0.090407,0.189446,0,0
04/01/2030 09:00,0.020985,0.194686,0.07327,0.205459,0.352188,0.073271,0.00076
04/01/2030 10:00,0.045112,0.288866,0.115758,0.279113,0.438466,0.188208,0.080981
04/01/2030 11:00,0.063637,0.296187,0.100089,0.275631,0.441393,0.232383,0.152842
04/01/2030 12:00,0.084849,0.217559,0.044092,0.218586,0.363235,0.202718,0.170537
04/01/2030 13:00,0.072669,0.017581,0,0.11068,0.209315,0.103,0.12187
04/01/2030 14:00,0.026901,0,0,0,0,0.01112,0.009106
04/01/2030 15:00,0,0,0,0,0,0,0
04/01/2030 16:00,0,0,0,0,0,0,0
04/01/2030 17:00,0,0,0,0,0,0,0
04/01/2030 18:00,0,0,0,0,0,0,0
04/01/2030 19:00,0,0,0,0,0,0,0
04/01/2030 20:00,0,0,0,0,0,0,0
04/01/2030 21:00,0,0,0,0,0,0,0
04/01/2030 22:00,0,0,0,0,0,0,0
04/01/2030 23:00,0,0,0,0,0,0,0
05/01/2030 00:00,0,0,0,0,0,0,0
05/01/2030 01:00,0,0,0,0,0,0,0
05/01/2030 02:00,0,0,0,0,0,0,0
05/01/2030 03:00,0,0,0,0,0,0,0
05/01/2030 04:00,0,0,0,0,0,0,0
05/01/2030 05:00,0,0,0,0,0,0,0
05/01/2030 06:00,0,0,0,0,0,0,0
05/01/2030 07:00,0,0,0,0,0,0,0
05/01/2030 08:00,0,0.045572,0,0.104558,0.12942,0,0
05/01/2030 09:00,0.203216,0.264208,0.081702,0.222488,0.239877,0.083755,0.006948
05/01/2030 10:00,0.336254,0.347006,0.127571,0.285135,0.296041,0.187186,0.158209
05/01/2030 11:00,0.392587,0.356953,0.114464,0.290855,0.292322,0.22797,0.219724
05/01/2030 12:00,0.381369,0.27212,0.055112,0.230837,0.236732,0.199471,0.218327
05/01/2030 13:00,0.302516,0.027926,0,0.109631,0.137742,0.112187,0.157099
05/01/2030 14:00,0.15471,0,0,0,0,0.019482,0.027024
05/01/2030 15:00,0,0,0,0,0,0,0
05/01/2030 16:00,0,0,0,0,0,0,0
05/01/2030 17:00,0,0,0,0,0,0,0
05/01/2030 18:00,0,0,0,0,0,0,0
05/01/2030 19:00,0,0,0,0,0,0,0
05/01/2030 20:00,0,0,0,0,0,0,0
05/01/2030 21:00,0,0,0,0,0,0,0
05/01/2030 22:00,0,0,0,0,0,0,0
05/01/2030 23:00,0,0,0,0,0,0,0
06/01/2030 00:00,0,0,0,0,0,0,0
06/01/2030 01:00,0,0,0,0,0,0,0
06/01/2030 02:00,0,0,0,0,0,0,0
06/01/2030 03:00,0,0,0,0,0,0,0
06/01/2030 04:00,0,0,0,0,0,0,0
06/01/2030 05:00,0,0,0,0,0,0,0
06/01/2030 06:00,0,0,0,0,0,0,0
