t,Denmark,Estonia,Finland,Latvia,Lithuania,Sweden,Norway
01/01/2030 00:00,0,0,0,0,0,0.637872,0.659221
01/01/2030 01:00,0,0,0,0,0,0.629362,0.628528
01/01/2030 02:00,0,0,0,0,0,0.62575,0.615898
01/01/2030 03:00,0,0,0,0,0,0.630709,0.618184
01/01/2030 04:00,0,0,0,0,0,0.63377,0.630289
01/01/2030 05:00,0,0,0,0,0,0.638362,0.662931
01/01/2030 06:00,0,0,0,0,0,0.639831,0.695836
01/01/2030 07:00,0,0,0,0,0,0.647178,0.715961
01/01/2030 08:00,0,0,0,0,0,0.662422,0.731327
01/01/2030 09:00,0,0,0,0,0,0.682993,0.757449
01/01/2030 10:00,0,0,0,0,0,0.687523,0.780047
01/01/2030 11:00,0,0,0,0,0,0.703257,0.792452
01/01/2030 12:00,0,0,0,0,0,0.706196,0.795113
01/01/2030 13:00,0,0,0,0,0,0.711522,0.807293
01/01/2030 14:00,0,0,0,0,0,0.730195,0.821272
01/01/2030 15:00,0,0,0,0,0,0.734235,0.82487
01/01/2030 16:00,0,0,0,0,0,0.729705,0.819398
01/01/2030 17:00,0,0,0,0,0,0.728909,0.815426
01/01/2030 18:00,0,0,0,0,0,0.720338,0.797512
01/01/2030 19:00,0,0,0,0,0,0.708277,0.778473
01/01/2030 20:00,0,0,0,0,0,0.686788,0.774501
01/01/2030 21:00,0,0,0,0,0,0.661932,0.757711
01/01/2030 22:00,0,0,0,0,0,0.656912,0.728591
01/01/2030 23:00,0,0,0,0,0,0.633648,0.699509
02/01/2030 00:00,0,0,0,0,0,0.635423,0.659971
02/01/2030 01:00,0,0,0,0,0,0.632423,0.647341
02/01/2030 02:00,0,0,0,0,0,0.63279,0.643443
02/01/2030 03:00,0,0,0,0,0,0.633158,0.653712
02/01/2030 04:00,0,0,0,0,0,0.637566,0.670764
02/01/2030 05:00,0,0,0,0,0,0.632913,0.691152
02/01/2030 06:00,0,0,0,0,0,0.641484,0.723157
02/01/2030 07:00,0,0,0,0,0,0.649871,0.75104
02/01/2030 08:00,0,0,0,0,0,0.683911,0.77094
02/01/2030 09:00,0,0,0,0,0,0.716542,0.786606
02/01/2030 10:00,0,0,0,0,0,0.724134,0.798411
02/01/2030 11:00,0,0,0,0,0,0.729093,0.798336
02/01/2030 12:00,0,0,0,0,0,0.72897,0.802009
02/01/2030 13:00,0,0,0,0,0,0.732705,0.806469
02/01/2030 14:00,0,0,0,0,0,0.744766,0.822546
02/01/2030 15:00,0,0,0,0,0,0.74146,0.843571
02/01/2030 16:00,0,0,0,0,0,0.741704,0.854964
02/01/2030 17:00,0,0,0,0,0,0.737664,0.856313
02/01/2030 18:00,0,0,0,0,0,0.721379,0.833677
02/01/2030 19:00,0,0,0,0,0,0.700747,0.797736
02/01/2030 20:00,0,0,0,0,0,0.674972,0.787093
02/01/2030 21:00,0,0,0,0,0,0.652198,0.769554
02/01/2030 22:00,0,0,0,0,0,0.636586,0.747892
02/01/2030 23:00,0,0,0,0,0,0.605118,0.720871
03/01/2030 00:00,0,0,0,0,0,0.598996,0.67811
03/01/2030 01:00,0,0,0,0,0,0.592078,0.65671
03/01/2030 02:00,0,0,0,0,0,0.589996,0.644793
03/01/2030 03:00,0,0,0,0,0,0.595629,0.648278
03/01/2030 04:00,0,0,0,0,0,0.599669,0.655511
03/01/2030 05:00,0,0,0,0,0,0.62024,0.659371
03/01/2030 06:00,0,0,0,0,0,0.621771,0.677323
03/01/2030 07:00,0,0,0,0,0,0.634566,0.701945
03/01/2030 08:00,0,0,0,0,0,0.651892,0.728142
03/01/2030 09:00,0,0,0,0,0,0.668605,0.747854
03/01/2030 10:00,0,0,0,0,0,0.670687,0.754413
03/01/2030 11:00,0,0,0,0,0,0.674544,0.746992
03/01/2030 12:00,0,0,0,0,0,0.676564,0.736162
03/01/2030 13:00,0,0,0,0,0,0.678646,0.744931
03/01/2030 14:00,0,0,0,0,0,0.681033,0.77079
03/01/2030 15:00,0,0,0,0,0,0.70442,0.808792
03/01/2030 16:00,0,0,0,0,0,0.709257,0.814601
03/01/2030 17:00,0,0,0,0,0,0.699522,0.80051
03/01/2030 18:00,0,0,0,0,0,0.683176,0.793951
03/01/2030 19:00,0,0,0,0,0,0.657034,0.769104
03/01/2030 20:00,0,0,0,0,0,0.641484,0.753926
03/01/2030 21:00,0,0,0,0,0,0.605547,0.73796
03/01/2030 22:00,0,0,0,0,0,0.597404,0.68538
03/01/2030 23:00,0,0,0,0,0,0.584976,0.617884
04/01/2030 00:00,0,0,0,0,0,0.580935,0.601244
04/01/2030 01:00,0,0,0,0,0,0.581058,0.589364
04/01/2030 02:00,0,0,0,0,0,0.582895,0.596672
04/01/2030 03:00,0,0,0,0,0,0.590609,0.613499
04/01/2030 04:00,0,0,0,0,0,0.6042,0.670239
04/01/2030 05:00,0,0,0,0,0,0.694747,0.73871
04/01/2030 06:00,0,0,0,0,0,0.753459,0.82086
04/01/2030 07:00,0,0,0,0,0,0.764663,0.842784
04/01/2030 08:00,0,0,0,0,0,0.759398,0.851291
04/01/2030 09:00,0,0,0,0,0,0.763071,0.852228
04/01/2030 10:00,0,0,0,0,0,0.764601,0.849042
04/01/2030 11:00,0,0,0,0,0,0.766377,0.84121
04/01/2030 12:00,0,0,0,0,0,0.769132,0.847618
04/01/2030 13:00,0,0,0,0,0,0.770356,0.848368
04/01/2030 14:00,0,0,0,0,0,0.767234,0.848855
04/01/2030 15:00,0,0,0,0,0,0.764601,0.85384
04/01/2030 16:00,0,0,0,0,0,0.761051,0.855601
04/01/2030 17:00,0,0,0,0,0,0.740602,0.839561
04/01/2030 18:00,0,0,0,0,0,0.73497,0.842596
04/01/2030 19:00,0,0,0,0,0,0.735827,0.834277
04/01/2030 20:00,0,0,0,0,0,0.719971,0.821947
04/01/2030 21:00,0,0,0,0,0,0.689727,0.790428
04/01/2030 22:00,0,0,0,0,0,0.648035,0.73901
04/01/2030 23:00,0,0,0,0,0,0.560977,0.703069
05/01/2030 00:00,0,0,0,0,0,0.554855,0.70127
05/01/2030 01:00,0,0,0,0,0,0.550508,0.69029
05/01/2030 02:00,0,0,0,0,0,0.554243,0.692051
05/01/2030 03:00,0,0,0,0,0,0.56863,0.7136
05/01/2030 04:00,0,0,0,0,0,0.581915,0.736199
05/01/2030 05:00,0,0,0,0,0,0.6533,0.786718
05/01/2030 06:00,0,0,0,0,0,0.692359,0.831016
05/01/2030 07:00,0,0,0,0,0,0.706379,0.839598
05/01/2030 08:00,0,0,0,0,0,0.707175,0.851404
05/01/2030 09:00,0,0,0,0,0,0.707849,0.850504
05/01/2030 10:00,0,0,0,0,0,0.708155,0.851216
05/01/2030 11:00,0,0,0,0,0,0.705339,0.851254
05/01/2030 12:00,0,0,0,0,0,0.705522,0.852191
05/01/2030 13:00,0,0,0,0,0,0.706747,0.845145
05/01/2030 14:00,0,0,0,0,0,0.702339,0.852078
05/01/2030 15:00,0,0,0,0,0,0.704726,0.86111
05/01/2030 16:00,0,0,0,0,0,0.704665,0.860998
05/01/2030 17:00,0,0,0,0,0,0.701604,0.849904
05/01/2030 18:00,0,0,0,0,0,0.70289,0.857025
05/01/2030 19:00,0,0,0,0,0,0.691686,0.847356
05/01/2030 20:00,0,0,0,0,0,0.677421,0.828243
05/01/2030 21:00,0,0,0,0,0,0.632607,0.808455
05/01/2030 22:00,0,0,0,0,0,0.601261,0.769516
05/01/2030 23:00,0,0,0,0,0,0.582282,0.722745
06/01/2030 00:00,0,0,0,0,0,0.563732,0.708204
06/01/2030 01:00,0,0,0,0,0,0.559936,0.695836
06/01/2030 02:00,0,0,0,0,0,0.562446,0.700296
06/01/2030 03:00,0,0,0,0,0,0.567895,0.710265
06/01/2030 04:00,0,0,0,0,0,0.574262,0.728067
06/01/2030 05:00,0,0,0,0,0,0.645402,0.764607
06/01/2030 06:00,0,0,0,0,0,0.697931,0.814676
06/01/2030 07:00,0,0,0,0,0,0.715318,0.82457
06/01/2030 08:00,0,0,0,0,0,0.734541,0.832478
06/01/2030 09:00,0,0,0,0,0,0.738521,0.832478
06/01/2030 10:00,0,0,0,0,0,0.735031,0.836113
06/01/2030 11:00,0,0,0,0,0,0.741092,0.8366
06/01/2030 12:00,0,0,0,0,0,0.736501,0.834351
06/01/2030 13:00,0,0,0,0,0,0.735705,0.840535
06/01/2030 14:00,0,0,0,0,0,0.740664,0.844733
