t,Denmark,Estonia,Finland,Latvia,Lithuania,Sweden,Norway
01/01/2030 00:00,0.121155,0.443575,0.899109,0.23002,0.305423,0.399468,0.452121
01/01/2030 01:00,0.127356,0.469178,0.900104,0.23034,0.282816,0.407397,0.44121
01/01/2030 02:00,0.123105,0.472026,0.89983,0.226131,0.244789,0.415219,0.445791
01/01/2030 03:00,0.109582,0.478703,0.897056,0.22887,0.222767,0.431736,0.427492
01/01/2030 04:00,0.097972,0.476412,0.886428,0.254311,0.223304,0.448788,0.38427
01/01/2030 05:00,0.091401,0.46171,0.871796,0.279416,0.229956,0.468105,0.337641
01/01/2030 06:00,0.079815,0.458366,0.845098,0.284169,0.248603,0.476326,0.30189
01/01/2030 07:00,0.069525,0.510156,0.801548,0.282839,0.290387,0.477866,0.270944
01/01/2030 08:00,0.061371,0.580441,0.756231,0.260928,0.334022,0.473954,0.253903
01/01/2030 09:00,0.056259,0.626166,0.725763,0.238151,0.381323,0.467705,0.241052
01/01/2030 10:00,0.064297,0.590362,0.747006,0.227928,0.377699,0.463738,0.290626
01/01/2030 11:00,0.052326,0.585358,0.73623,0.257439,0.364184,0.403238,0.252533
01/01/2030 12:00,0.041023,0.543945,0.728087,0.276375,0.388767,0.373015,0.242103
01/01/2030 13:00,0.035208,0.470078,0.737842,0.260449,0.403493,0.367861,0.234236
01/01/2030 14:00,0.032227,0.399502,0.746702,0.242834,0.417275,0.370112,0.222794
01/01/2030 15:00,0.03214,0.322923,0.745889,0.233331,0.402883,0.383767,0.227752
01/01/2030 16:00,0.029269,0.26404,0.730509,0.232951,0.38388,0.386962,0.223335
01/01/2030 17:00,0.025804,0.226158,0.712163,0.224956,0.349122,0.397302,0.2325
01/01/2030 18:00,0.022012,0.226663,0.696523,0.216146,0.303519,0.405773,0.236508
01/01/2030 19:00,0.021354,0.261665,0.679006,0.209504,0.262029,0.412384,0.239444
01/01/2030 20:00,0.022675,0.303725,0.664154,0.202498,0.219089,0.421782,0.251938
01/01/2030 21:00,0.022093,0.306902,0.643868,0.198274,0.191602,0.426855,0.2664
01/01/2030 22:00,0.029531,0.32143,0.647637,0.198065,0.18522,0.439083,0.380733
01/01/2030 23:00,0.021829,0.274972,0.628801,0.187939,0.183851,0.424117,0.389797
02/01/2030 00:00,0.013712,0.220743,0.606468,0.193262,0.205692,0.415981,0.422003
02/01/2030 01:00,0.009498,0.169765,0.596379,0.207351,0.258596,0.415227,0.43486
02/01/2030 02:00,0.009545,0.134478,0.586266,0.213574,0.293848,0.426381,0.441556
02/01/2030 03:00,0.011949,0.124484,0.585634,0.217163,0.330922,0.439048,0.439832
02/01/2030 04:00,0.015417,0.11792,0.576404,0.212602,0.352881,0.443976,0.422583
02/01/2030 05:00,0.019164,0.10666,0.567571,0.192402,0.333621,0.451036,0.405339
02/01/2030 06:00,0.024984,0.096953,0.562546,0.186648,0.316642,0.455703,0.389333
02/01/2030 07:00,0.027637,0.087246,0.550331,0.16818,0.3074,0.460822,0.370741
02/01/2030 08:00,0.028779,0.08372,0.537791,0.135915,0.295184,0.465459,0.356707
02/01/2030 09:00,0.027476,0.08714,0.529971,0.113495,0.276539,0.459029,0.345529
02/01/2030 10:00,0.010843,0.100222,0.560081,0.062181,0.190467,0.443489,0.401523
02/01/2030 11:00,0.014354,0.09612,0.564838,0.050816,0.156146,0.404965,0.400888
02/01/2030 12:00,0.02119,0.096093,0.560668,0.047355,0.165662,0.390344,0.415632
02/01/2030 13:00,0.031001,0.117709,0.557022,0.050385,0.193625,0.39605,0.428304
02/01/2030 14:00,0.044905,0.142407,0.548165,0.069402,0.2497,0.418193,0.446516
02/01/2030 15:00,0.058972,0.142034,0.547736,0.095515,0.307492,0.442022,0.504093
02/01/2030 16:00,0.067759,0.129039,0.534993,0.114099,0.317032,0.448463,0.559281
02/01/2030 17:00,0.07407,0.121442,0.531547,0.130979,0.298537,0.460845,0.578314
02/01/2030 18:00,0.090957,0.117059,0.532231,0.133642,0.280851,0.469522,0.58972
02/01/2030 19:00,0.115449,0.114272,0.532997,0.138505,0.284194,0.478596,0.59068
02/01/2030 20:00,0.144306,0.117278,0.537902,0.150366,0.288514,0.496236,0.598535
02/01/2030 21:00,0.175321,0.125181,0.544042,0.174924,0.302642,0.514994,0.600935
02/01/2030 22:00,0.227624,0.11416,0.568848,0.189641,0.359346,0.535632,0.649742
02/01/2030 23:00,0.285587,0.101727,0.5711,0.213014,0.410359,0.501067,0.611142
03/01/2030 00:00,0.353885,0.083912,0.580791,0.234965,0.449582,0.47635,0.549046
03/01/2030 01:00,0.403919,0.067778,0.578694,0.272486,0.530381,0.455961,0.508305
03/01/2030 02:00,0.430973,0.059403,0.591362,0.326371,0.676554,0.459516,0.52211
03/01/2030 03:00,0.445036,0.062626,0.605915,0.317345,0.762644,0.449128,0.556933
03/01/2030 04:00,0.443262,0.065612,0.622655,0.277355,0.812482,0.445076,0.594497
03/01/2030 05:00,0.440771,0.06575,0.637884,0.239677,0.812506,0.442418,0.628944
03/01/2030 06:00,0.44352,0.065659,0.658415,0.178865,0.78213,0.452882,0.659232
03/01/2030 07:00,0.449692,0.067038,0.67259,0.128893,0.728396,0.468189,0.650343
03/01/2030 08:00,0.459389,0.072056,0.680769,0.091608,0.664077,0.478994,0.628612
03/01/2030 09:00,0.478879,0.068786,0.685155,0.064768,0.610494,0.481574,0.599816
03/01/2030 10:00,0.518635,0.065844,0.710892,0.05982,0.472936,0.473594,0.578385
03/01/2030 11:00,0.543082,0.068596,0.713207,0.048754,0.351783,0.456623,0.541996
03/01/2030 12:00,0.558888,0.077795,0.711934,0.041788,0.256682,0.429383,0.504404
03/01/2030 13:00,0.561545,0.092422,0.721873,0.041402,0.191562,0.407957,0.458806
03/01/2030 14:00,0.550249,0.105079,0.729836,0.048769,0.162817,0.39033,0.413732
03/01/2030 15:00,0.513801,0.113606,0.722869,0.063659,0.12802,0.370747,0.358908
03/01/2030 16:00,0.444774,0.131691,0.713621,0.075397,0.129426,0.345757,0.306344
03/01/2030 17:00,0.35412,0.153259,0.695164,0.086957,0.145842,0.333238,0.264331
03/01/2030 18:00,0.271883,0.175953,0.678211,0.096725,0.185593,0.324996,0.224762
03/01/2030 19:00,0.203026,0.188107,0.65749,0.107056,0.25773,0.321145,0.19638
03/01/2030 20:00,0.147664,0.189731,0.645893,0.108991,0.357098,0.313625,0.180522
03/01/2030 21:00,0.10566,0.194242,0.642506,0.102815,0.452331,0.304815,0.168112
03/01/2030 22:00,0.084123,0.180433,0.660844,0.105197,0.474742,0.295416,0.144732
03/01/2030 23:00,0.057172,0.179056,0.65843,0.083055,0.493817,0.286367,0.131934
04/01/2030 00:00,0.043898,0.172499,0.649797,0.062354,0.512193,0.278829,0.117265
04/01/2030 01:00,0.035756,0.159569,0.639565,0.041834,0.527033,0.269113,0.103368
04/01/2030 02:00,0.035073,0.155662,0.643317,0.02519,0.516782,0.264141,0.099553
04/01/2030 03:00,0.034889,0.148785,0.621481,0.018129,0.476707,0.255398,0.099545
04/01/2030 04:00,0.035414,0.140742,0.622759,0.015577,0.408898,0.25926,0.109979
04/01/2030 05:00,0.038344,0.138688,0.60637,0.02103,0.339378,0.259246,0.123009
04/01/2030 06:00,0.04134,0.141766,0.594731,0.030347,0.253645,0.266944,0.138067
04/01/2030 07:00,0.047617,0.143738,0.568174,0.040516,0.183259,0.277835,0.154912
04/01/2030 08:00,0.050108,0.136375,0.540703,0.045495,0.125179,0.288179,0.165914
04/01/2030 09:00,0.054872,0.123461,0.518042,0.041453,0.087636,0.29109,0.188168
04/01/2030 10:00,0.055538,0.12069,0.541239,0.039428,0.070498,0.275028,0.240971
04/01/2030 11:00,0.063852,0.104508,0.528124,0.030238,0.045897,0.270905,0.240769
04/01/2030 12:00,0.066366,0.094958,0.525352,0.027613,0.040687,0.278288,0.245512
04/01/2030 13:00,0.073467,0.094192,0.532294,0.025049,0.041748,0.287674,0.241494
04/01/2030 14:00,0.10114,0.096745,0.540986,0.02865,0.041714,0.310576,0.240844
04/01/2030 15:00,0.143383,0.104984,0.536813,0.033909,0.044514,0.336475,0.235258
04/01/2030 16:00,0.189534,0.118098,0.52914,0.036911,0.048369,0.351577,0.232627
04/01/2030 17:00,0.222542,0.130001,0.505948,0.037722,0.047145,0.348251,0.24301
04/01/2030 18:00,0.226459,0.126382,0.478168,0.035168,0.040465,0.339882,0.256861
04/01/2030 19:00,0.218178,0.122063,0.458832,0.033079,0.030392,0.333403,0.263513
04/01/2030 20:00,0.210676,0.110488,0.429207,0.033728,0.022265,0.325467,0.267574
04/01/2030 21:00,0.205253,0.100978,0.408918,0.040476,0.016769,0.31715,0.271751
04/01/2030 22:00,0.195498,0.134519,0.46827,0.048698,0.018278,0.348829,0.295799
04/01/2030 23:00,0.206405,0.118906,0.465013,0.053653,0.016623,0.333808,0.290985
