t,Denmark,Estonia,Finland,Latvia,Lithuania,Sweden,Norway
01/01/2030 00:00,0.484157,0.731691,0.935239,0.22523,0.194373,0.559841,0.600125
01/01/2030 01:00,0.492012,0.816401,0.932779,0.306011,0.202553,0.588849,0.629122
01/01/2030 02:00,0.510629,0.855128,0.932847,0.404716,0.20982,0.611834,0.651258
01/01/2030 03:00,0.503072,0.889367,0.920646,0.529568,0.229257,0.629919,0.651821
01/01/2030 04:00,0.484527,0.910951,0.881122,0.674396,0.302384,0.655921,0.615198
01/01/2030 05:00,0.441532,0.907608,0.790212,0.792208,0.45856,0.656128,0.557487
01/01/2030 06:00,0.355076,0.885636,0.714279,0.846765,0.636553,0.648592,0.486108
01/01/2030 07:00,0.263558,0.856067,0.740223,0.887499,0.785685,0.664538,0.406288
01/01/2030 08:00,0.187214,0.789711,0.765395,0.895564,0.862818,0.694445,0.330542
01/01/2030 09:00,0.13827,0.724694,0.755888,0.857497,0.89703,0.729527,0.276352
01/01/2030 10:00,0.154808,0.635355,0.721448,0.780734,0.885795,0.781724,0.292699
01/01/2030 11:00,0.134026,0.489601,0.664973,0.693121,0.815247,0.764798,0.284548
01/01/2030 12:00,0.124637,0.44019,0.636238,0.589078,0.684972,0.723588,0.284976
01/01/2030 13:00,0.130488,0.456721,0.639618,0.504122,0.610011,0.681849,0.282937
01/01/2030 14:00,0.132784,0.465037,0.641117,0.385975,0.522432,0.621274,0.286547
01/01/2030 15:00,0.121244,0.490996,0.653076,0.335845,0.386607,0.553909,0.289667
01/01/2030 16:00,0.09362,0.587053,0.678237,0.419415,0.323156,0.521486,0.282831
01/01/2030 17:00,0.07284,0.689806,0.656998,0.542485,0.350401,0.503183,0.276097
01/01/2030 18:00,0.060831,0.79082,0.640096,0.62997,0.402033,0.476733,0.278285
01/01/2030 19:00,0.052023,0.823628,0.635015,0.66206,0.435809,0.446481,0.291325
01/01/2030 20:00,0.040144,0.822499,0.642957,0.678464,0.414808,0.445956,0.30816
01/01/2030 21:00,0.025099,0.812247,0.629498,0.693656,0.391792,0.464403,0.337374
01/01/2030 22:00,0.032298,0.821988,0.600172,0.711007,0.374061,0.502048,0.355131
01/01/2030 23:00,0.016991,0.793148,0.59511,0.730593,0.409749,0.50592,0.386688
02/01/2030 00:00,0.007413,0.797349,0.566031,0.755934,0.46055,0.484086,0.41438
02/01/2030 01:00,0.004875,0.855178,0.543867,0.790904,0.531188,0.467639,0.445661
02/01/2030 02:00,0.023325,0.885861,0.516154,0.798979,0.558415,0.460788,0.472162
02/01/2030 03:00,0.07187,0.908011,0.481329,0.827926,0.617335,0.460646,0.5074
02/01/2030 04:00,0.128516,0.919773,0.444202,0.839226,0.665467,0.450759,0.515292
02/01/2030 05:00,0.18107,0.927919,0.407399,0.831448,0.672895,0.459638,0.482078
02/01/2030 06:00,0.190096,0.923317,0.360336,0.841992,0.701941,0.479602,0.44173
02/01/2030 07:00,0.182028,0.892714,0.314054,0.86029,0.729169,0.485396,0.397864
02/01/2030 08:00,0.173399,0.806115,0.295692,0.869239,0.737315,0.496988,0.36196
02/01/2030 09:00,0.150654,0.693604,0.315373,0.87813,0.741353,0.529535,0.343591
02/01/2030 10:00,0.100422,0.676402,0.455581,0.856969,0.734837,0.634059,0.327249
02/01/2030 11:00,0.076939,0.683509,0.479169,0.858417,0.728748,0.633874,0.361293
02/01/2030 12:00,0.087781,0.74738,0.489368,0.852755,0.741417,0.629313,0.406915
02/01/2030 13:00,0.124386,0.838484,0.473247,0.86374,0.761718,0.594244,0.414773
02/01/2030 14:00,0.146032,0.885693,0.437952,0.899063,0.8284,0.562695,0.400496
02/01/2030 15:00,0.171331,0.914275,0.452754,0.908337,0.873423,0.559829,0.442783
02/01/2030 16:00,0.220041,0.909218,0.471034,0.91862,0.875029,0.558622,0.510633
02/01/2030 17:00,0.307981,0.894869,0.539838,0.92679,0.903138,0.574782,0.572897
02/01/2030 18:00,0.392373,0.911332,0.607858,0.927433,0.92065,0.572191,0.64458
02/01/2030 19:00,0.447318,0.915383,0.656326,0.934549,0.930755,0.558437,0.703983
02/01/2030 20:00,0.525646,0.899968,0.699433,0.921339,0.926413,0.544934,0.725502
02/01/2030 21:00,0.592708,0.877788,0.693257,0.909574,0.913455,0.560702,0.733202
02/01/2030 22:00,0.692914,0.905417,0.636218,0.931123,0.9177,0.675251,0.735977
02/01/2030 23:00,0.743048,0.888491,0.553899,0.948692,0.94281,0.686035,0.741509
03/01/2030 00:00,0.825286,0.895992,0.469003,0.949999,0.94983,0.68852,0.750405
03/01/2030 01:00,0.901259,0.888054,0.388388,0.95,0.95,0.678543,0.749268
03/01/2030 02:00,0.924961,0.771063,0.35841,0.949907,0.95,0.678448,0.751784
03/01/2030 03:00,0.931774,0.544114,0.346889,0.947368,0.95,0.670929,0.754375
03/01/2030 04:00,0.935328,0.31014,0.365133,0.934957,0.95,0.661554,0.749375
03/01/2030 05:00,0.933348,0.153261,0.38548,0.887492,0.95,0.671307,0.737273
03/01/2030 06:00,0.934908,0.083,0.398697,0.796047,0.949999,0.678704,0.735248
03/01/2030 07:00,0.934131,0.059075,0.410194,0.728124,0.949796,0.669714,0.730998
03/01/2030 08:00,0.938775,0.064427,0.424365,0.630029,0.940929,0.663497,0.71198
03/01/2030 09:00,0.94116,0.071371,0.433507,0.528586,0.868447,0.654506,0.68095
03/01/2030 10:00,0.945601,0.125746,0.47983,0.337514,0.699794,0.639176,0.660738
03/01/2030 11:00,0.948456,0.205524,0.497857,0.234423,0.508586,0.628703,0.646415
03/01/2030 12:00,0.94963,0.25573,0.476311,0.230374,0.474805,0.608592,0.626814
03/01/2030 13:00,0.949657,0.237715,0.448244,0.187534,0.381114,0.587894,0.613138
03/01/2030 14:00,0.947201,0.215503,0.429844,0.166043,0.262724,0.608361,0.616774
03/01/2030 15:00,0.937229,0.223449,0.413974,0.192845,0.181584,0.611143,0.603686
03/01/2030 16:00,0.921368,0.214792,0.395549,0.228338,0.085891,0.606031,0.570362
03/01/2030 17:00,0.902268,0.215673,0.390817,0.292344,0,0.615125,0.540389
03/01/2030 18:00,0.827718,0.244804,0.392602,0.510648,0,0.630495,0.51068
03/01/2030 19:00,0.707637,0.303419,0.40555,0.716866,0.171033,0.654393,0.488077
03/01/2030 20:00,0.611142,0.328691,0.408672,0.757241,0.881548,0.668299,0.472398
03/01/2030 21:00,0.535961,0.29398,0.413584,0.733689,0.949897,0.659705,0.461546
03/01/2030 22:00,0.413963,0.299475,0.429615,0.669499,0.944655,0.635021,0.359304
03/01/2030 23:00,0.326518,0.223522,0.403059,0.556512,0.888043,0.585691,0.346896
04/01/2030 00:00,0.287986,0.200772,0.378703,0.454598,0.82588,0.513234,0.319909
04/01/2030 01:00,0.241593,0.222915,0.359125,0.34725,0.799752,0.427864,0.281471
04/01/2030 02:00,0.181813,0.274482,0.35508,0.246591,0.687501,0.356067,0.255668
04/01/2030 03:00,0.136886,0.303877,0.348695,0.180222,0.52928,0.303625,0.228131
04/01/2030 04:00,0.115517,0.270067,0.351833,0.133826,0.372369,0.288862,0.211776
04/01/2030 05:00,0.105503,0.22192,0.331851,0.109483,0.242957,0.263048,0.206304
04/01/2030 06:00,0.098069,0.198719,0.306262,0.083789,0.117657,0.243826,0.213764
04/01/2030 07:00,0.098842,0.198572,0.274117,0.0628,0.034418,0.235243,0.222228
04/01/2030 08:00,0.109933,0.192481,0.253215,0.049775,0.000241,0.23694,0.215586
04/01/2030 09:00,0.129515,0.178577,0.228461,0.053838,0,0.230645,0.214969
04/01/2030 10:00,0.176351,0.169891,0.234443,0.035729,0,0.220691,0.25309
04/01/2030 11:00,0.191375,0.12997,0.231572,0.060604,0,0.21949,0.283393
04/01/2030 12:00,0.212125,0.088866,0.247859,0.078838,0.014064,0.221625,0.331792
04/01/2030 13:00,0.25596,0.058798,0.272964,0.084474,0.049766,0.235582,0.368594
04/01/2030 14:00,0.333428,0.051883,0.29505,0.069604,0.075173,0.24873,0.374691
04/01/2030 15:00,0.439321,0.054784,0.316649,0.05487,0.097603,0.264025,0.372069
04/01/2030 16:00,0.58058,0.060148,0.324726,0.036682,0.108852,0.284065,0.373819
04/01/2030 17:00,0.669077,0.086062,0.322221,0.023834,0.093658,0.292625,0.361727
04/01/2030 18:00,0.700882,0.137206,0.316396,0.014982,0.069829,0.297697,0.348083
04/01/2030 19:00,0.690617,0.182396,0.290001,0.010176,0.04528,0.297261,0.325848
04/01/2030 20:00,0.68328,0.199459,0.242424,0.008157,0.030194,0.266879,0.310433
04/01/2030 21:00,0.672028,0.205257,0.214751,0.00741,0.024091,0.257648,0.294149
