id,name,v_nom,longitude,latitude,windmax,pvmax,area
1,EN_NorthEast,380,-1.719924,54.95238,829.4816573,1776.540378,1
2,EN_NorthWest,380,-3.123464139,54.54902292,848.6108119,4402.0754,1
3,EN_Yorkshire,380,-0.825877336,54.02682187,1206.595031,4535.669936,1
4,EN_EastMidlands,380,-0.464703902,53.13402817,929.2717365,6111.977033,2
5,EN_WestMidlands,380,-2.380770469,52.56544607,32.2907635,3411.832491,2
6,EN_East,380,0.762207582,52.39630724,739.0992361,5610.33232,2
7,EN_London,380,-0.170146469,51.46901783,18.25354876,366.0448728,2
8,EN_SouthEast,380,-0.615460958,51.10584171,204.2097151,5928.384712,2
9,EN_SouthWest,380,-3.673391,50.768088,961.5625,10714.28571,2
10,EN_Wales,380,-3.840462,52.428325,2884.6875,4761.904762,2
11,Scotland,380,-3.902334,56.768073,22115.9375,2380.952381,1
12,NorthernIreland,380,-6.074083781,54.62120238,3284.070707,1329.301222,1
