id,name_id,name,bus,bus_name,carrier,type,pmax,cost,efficiency,pu_max,pu_min
1,Peterborough_GAS,Peterborough Power Station,6,EN_East,Gas,Gas,245,184.3837098,0.35,1,0
2,KingsLynn_GAS,Kings Lynn,6,EN_East,Gas,Gas,395,184.3837098,0.35,1,0
3,GreatYarmouth_GAS,Great Yarmouth,6,EN_East,Hydrogen,Gas,420,47.74535809,0.55,1,0
4,SuttonBridge_GAS,SUTTON BRIDGE POWER GENERATION,4,EN_EastMidlands,Gas,Gas,819,184.3837098,0.35,1,0
5,Staythorpe_GAS,Staythorpe,4,EN_EastMidlands,Gas,Gas,1772,117.3350881,0.55,1,0
6,WestBurton_GAS,West Burton CCGT,4,EN_EastMidlands,Hydrogen,Gas,1332,47.74535809,0.55,1,0
7,Cottam_GAS,Cottam Development Centre,4,EN_EastMidlands,Gas,Gas,445,184.3837098,0.35,1,0
8,Enfield_GAS,Enfield,7,EN_London,Gas,Gas,408,184.3837098,0.35,1,0
9,SealSands_GAS,Seal Sands,1,EN_NorthEast,Gas,Gas,55,184.3837098,0.35,1,0
10,Rocksavage_GAS,Rocksavage Power Company Ltd,2,EN_NorthWest,Gas,Gas,810,184.3837098,0.35,1,0
11,Cheshire_GAS,Cheshire,2,EN_NorthWest,Gas,Gas,40,184.3837098,0.35,1,0
12,Coryton_GAS,Coryton Energy Company Ltd,8,EN_SouthEast,Hydrogen,Gas,800,47.74535809,0.55,1,0
13,Marchwood_GAS,Marchwood Power,8,EN_SouthEast,Hydrogen,Gas,898,47.74535809,0.55,1,0
14,Didcot_GAS,Didcot B,8,EN_SouthEast,Gas,Gas,1450,184.3837098,0.35,1,0
15,Hythe_GAS,Hythe,8,EN_SouthEast,Gas,Gas,44,184.3837098,0.35,1,0
16,Burghfield_GAS,Burghfield,8,EN_SouthEast,Gas,Gas,50,184.3837098,0.35,1,0
17,DamheadCreek_GAS,Damhead Creek,8,EN_SouthEast,Hydrogen,Gas,805,47.74535809,0.55,1,0
18,Chickerell_GAS,Chickerell,9,EN_SouthWest,Gas,Gas,50,184.3837098,0.35,1,0
19,Chippenham_GAS,Chippenham,9,EN_SouthWest,Gas,Gas,10.07,184.3837098,0.35,1,0
20,Baglan_GAS,Baglan Generating Ltd,10,EN_Wales,Gas CCS,Gas,520,89.14,0.5,1,0
21,Pembroke_GAS,Pembroke,10,EN_Wales,Gas,Gas,2199,117.3350881,0.55,1,0
22,ConnahsQuay_GAS,Connahs Quay,10,EN_Wales,Gas CCS,Gas,1200,89.14,0.5,1,0
23,GlanfordBigg_GAS,Glanford Brigg,3,EN_Yorkshire,Gas,Gas,99,184.3837098,0.35,1,0
24,SHB_GAS,EP SHB Ltd,3,EN_Yorkshire,Gas,Gas,1365,184.3837098,0.35,1,0
25,Grimsby_GAS,Grimsby,3,EN_Yorkshire,Gas,Gas,20,184.3837098,0.35,1,0
26,Killingholme_GAS,Killingholme,3,EN_Yorkshire,Gas,Gas,600,184.3837098,0.35,1,0
27,PeterheadCCS_GAS,Peterhead CCS,11,Scotland,Gas CCS,Gas,900,89.14,0.5,1,0
28,VPI_GAS_CHP,VPI CHP power plant,3,EN_Yorkshire,Hydrogen,Gas CHP,939,47.74535809,0.51,1,0
29,Grain_GAS_CHP,Grain CHP power plant,8,EN_SouthEast,Hydrogen,Gas CHP,1137.75,47.74535809,0.51,1,0
30,Fellside_Hydrogen_CHP,Fellside CHP power plant,2,EN_NorthWest,Hydrogen,Gas CHP,155,47.74535809,0.51,1,0
31,Heysham2_NUCLEAR,Heysham 2,2,EN_NorthWest,Nuclear,Nuclear,1240,5,0.4,0.95,0.4
32,SizewellB_NUCLEAR,Sizewell B,6,EN_East,Nuclear,Nuclear,1198,5,0.4,0.95,0.4
33,HinkleyPointC_NUCLEAR,Hinkley Point C,9,EN_SouthWest,Nuclear,Nuclear,3200,5,0.45,0.95,0.4
34,EN_NorthEast_Biomass,EN_NorthEast_Biomass,1,EN_NorthEast,Biomass,Biomass,#REF!,2,0.3,0.9,0
35,EN_NorthWest_Biomass,EN_NorthWest_Biomass,2,EN_NorthWest,Biomass,Biomass,#REF!,2,0.3,0.9,0
36,EN_Yorkshire_Biomass,EN_Yorkshire_Biomass,3,EN_Yorkshire,Biomass,Biomass,#REF!,2,0.3,0.9,0
37,EN_EastMidlands_Biomass,EN_EastMidlands_Biomass,4,EN_EastMidlands,Biomass,Biomass,#REF!,2,0.3,0.9,0
