t,EN_NorthEast,EN_NorthWest,EN_Yorkshire,EN_EastMidlands,EN_WestMidlands,EN_East,EN_London,EN_SouthEast,EN_SouthWest,EN_Wales,Scotland,NorthernIreland
01/01/2030 00:00,1549.508467,4201.766323,3176.250796,2856.941983,3298.852441,3617.775558,5253.913888,5219.687689,3247.921071,2073.21473,3390.818344,1086.622439
01/01/2030 01:00,1511.052195,4097.48534,3097.421434,2786.037345,3216.980306,3527.988272,5123.520318,5090.143558,3167.31297,2021.760924,3306.663766,1059.654244
01/01/2030 02:00,1458.750566,3955.660221,2990.211248,2689.60501,3105.631863,3405.874996,4946.181336,4913.959836,3057.683649,1951.782276,3192.211134,1022.976726
01/01/2030 03:00,1411.816306,3828.389672,2894.003333,2603.068886,3005.710371,3296.293395,4787.041477,4755.85668,2959.304856,1888.985072,3089.504015,990.0631792
01/01/2030 04:00,1379.758584,3741.459488,2828.29,2543.961721,2937.460538,3221.445374,4678.343451,4647.866759,2892.10874,1846.092411,3019.351503,967.5820887
01/01/2030 05:00,1388.618012,3765.483393,2846.450445,2560.296495,2956.321967,3242.130269,4708.383087,4677.710704,2910.678966,1857.946167,3038.738754,973.7949316
01/01/2030 06:00,1450.800376,3934.101873,2973.914598,2674.946664,3088.70617,3387.312978,4919.224649,4887.178756,3041.019273,1941.145063,3174.813584,1017.401503
01/01/2030 07:00,1546.682293,4194.102653,3170.45758,2851.73116,3292.83561,3611.177037,5244.331188,5210.167415,3241.997135,2069.43336,3384.633775,1084.640531
01/01/2030 08:00,1695.141745,4596.676721,3474.776313,3125.4567,3608.900889,3957.798555,5747.712224,5710.269215,3553.182645,2268.069463,3709.510369,1188.75056
01/01/2030 09:00,1847.825448,5010.705593,3787.754102,3406.970801,3933.95946,4314.28281,6265.416418,6224.600866,3873.222599,2472.357539,4043.630972,1295.822927
01/01/2030 10:00,1946.979152,5279.578402,3991.003737,3589.787729,4145.054427,4545.785802,6601.616595,6558.610895,4081.058446,2605.023428,4260.610875,1365.356357
01/01/2030 11:00,2000.189085,5423.866546,4100.075804,3687.89477,4258.336618,4670.019775,6782.035359,6737.854335,4192.59166,2676.21737,4377.051165,1402.67084
01/01/2030 12:00,2025.919902,5493.64021,4152.819968,3735.336558,4313.11668,4730.095808,6869.280767,6824.53139,4246.525966,2710.644745,4433.358394,1420.715068
01/01/2030 13:00,2019.896788,5477.307471,4140.473523,3724.231303,4300.293669,4716.033107,6848.858212,6804.241876,4233.900931,2702.585926,4420.177901,1416.491244
01/01/2030 14:00,2007.323963,5443.214032,4114.701192,3701.049866,4273.526539,4686.678211,6806.227571,6761.888949,4207.547062,2685.76371,4392.664553,1407.67431
01/01/2030 15:00,2035.03429,5518.355484,4171.503042,3752.14142,4332.520911,4751.375981,6900.184895,6855.234196,4265.630613,2722.839634,4453.303579,1427.106706
01/01/2030 16:00,2114.494966,5733.827165,4334.38504,3898.648875,4501.690071,4936.899906,7169.61198,7122.90612,4432.18795,2829.156603,4627.188862,1482.830025
01/01/2030 17:00,2175.862552,5900.23623,4460.179025,4011.796778,4632.339638,5080.18028,7377.690877,7329.629504,4560.820404,2911.26534,4761.480697,1525.865218
01/01/2030 18:00,2173.189807,5892.988611,4454.700316,4006.868844,4626.649454,5073.939986,7368.628411,7320.626074,4555.218071,2907.689256,4755.631881,1523.990905
01/01/2030 19:00,2108.222362,5716.81789,4321.52718,3887.083617,4488.335904,4922.254699,7148.343481,7101.776172,4419.03996,2820.763971,4613.462405,1478.431241
01/01/2030 20:00,1990.520883,5397.649507,4080.257497,3670.068799,4237.753335,4647.446562,6749.253415,6705.285946,4172.326165,2663.281488,4355.894058,1395.890828
01/01/2030 21:00,1854.892284,5029.868569,3802.240014,3420.000442,3949.00452,4330.782382,6289.377917,6248.406271,3888.035377,2481.812839,4059.095461,1300.77868
01/01/2030 22:00,1705.600043,4625.036245,3496.214193,3144.739427,3631.16626,3982.216476,5783.173144,5745.499128,3575.104259,2282.062479,3732.396458,1196.084642
01/01/2030 23:00,1581.099096,4287.429902,3241.00666,2915.187934,3366.107848,3691.533015,5361.028142,5326.104156,3314.138115,2115.482429,3459.948708,1108.775972
02/01/2030 00:00,1480.101835,4013.557962,3033.97802,2728.971904,3151.08801,3455.725706,5018.577021,4985.883905,3102.437993,1980.349893,3238.934514,1037.949712
02/01/2030 01:00,1443.557963,3914.46279,2959.068781,2661.593298,3073.287312,3370.403472,4894.667822,4862.781902,3025.838469,1931.454844,3158.964877,1012.322623
02/01/2030 02:00,1393.050394,3777.502581,2855.536138,2568.468802,2965.758362,3252.478947,4723.411952,4692.641665,2919.969671,1863.876616,3048.438219,976.9032244
02/01/2030 03:00,1349.140966,3658.4344,2765.528656,2487.509781,2872.276638,3149.959691,4574.528382,4544.727985,2827.931222,1805.126583,2952.350397,946.1108985
02/01/2030 04:00,1322.641399,3586.576137,2711.208675,2438.650594,2815.859934,3088.08879,4484.676377,4455.461314,2772.385543,1769.670635,2894.3609,927.5275707
02/01/2030 05:00,1357.600543,3681.374038,2782.869469,2503.107321,2890.286798,3169.711019,4603.212244,4573.224988,2845.663321,1816.445346,2970.862646,952.0433384
02/01/2030 06:00,1484.0299,4024.209607,3042.029942,2736.214366,3159.450732,3464.896911,5031.895902,4999.116021,3110.671602,1985.605575,3247.530373,1040.704343
02/01/2030 07:00,1646.061471,4463.586876,3374.169403,3034.963813,3504.410605,3843.206465,5581.295882,5544.936979,3450.305599,2202.400931,3602.107089,1154.33208
02/01/2030 08:00,1790.507871,4855.278843,3670.262004,3301.290195,3811.932228,4180.458353,6071.069874,6031.520377,3753.079359,2395.667641,3918.201846,1255.62788
02/01/2030 09:00,1907.633923,5172.886851,3910.35215,3517.244054,4061.28973,4453.922987,6468.208838,6426.072212,3998.587002,2552.380212,4174.510974,1337.764763
02/01/2030 10:00,1972.362418,5348.409618,4043.035476,3636.588712,4199.094563,4605.050376,6687.683562,6644.117185,4134.26425,2638.985786,4316.157551,1383.156858
02/01/2030 11:00,2003.769332,5433.57502,4107.414752,3694.495933,4265.958847,4678.378897,6794.174893,6749.914787,4200.096208,2681.007677,4384.885887,1405.181557
02/01/2030 12:00,2012.39061,5456.953141,4125.087028,3710.391614,4284.313263,4698.507764,6823.407036,6778.956499,4218.167249,2692.542793,4403.751991,1411.227393
02/01/2030 13:00,1996.135874,5412.875548,4091.767353,3680.421569,4249.707466,4660.556382,6768.292149,6724.200654,4184.095734,2670.794246,4368.181448,1399.828448
02/01/2030 14:00,1979.237534,5367.05271,4057.12839,3649.264864,4213.731457,4621.102321,6710.994995,6667.276759,4148.675163,2648.184568,4331.202494,1387.978164
02/01/2030 15:00,2003.788944,5433.628203,4107.454954,3694.532094,4266.0006,4678.424688,6794.241392,6749.980853,4200.137317,2681.033918,4384.928805,1405.19531
02/01/2030 16:00,2090.374626,5668.420596,4284.942104,3854.176442,4450.338662,4880.583998,7087.827213,7041.654133,4381.629362,2796.884018,4574.405871,1465.915175
02/01/2030 17:00,2155.989811,5846.347779,4419.443005,3975.155954,4590.031229,5033.781621,7310.308434,7262.686018,4519.165199,2884.675967,4717.992808,1511.929078
02/01/2030 18:00,2152.561793,5837.052101,4412.416102,3968.835466,4582.733091,5025.777921,7298.685062,7251.138365,4511.979738,2880.08934,4710.491211,1509.525115
02/01/2030 19:00,2090.404378,5668.501274,4285.003091,3854.231298,4450.402003,4880.653463,7087.928093,7041.754356,4381.691725,2796.923825,4574.470978,1465.936039
02/01/2030 20:00,1975.630203,5357.270794,4049.733924,3642.613765,4206.051568,4612.679964,6698.763629,6655.125072,4141.113845,2643.358023,4323.308505,1385.448454
02/01/2030 21:00,1831.855158,4967.399324,3755.017496,3377.525208,3899.959237,4276.995548,6211.265998,6170.803206,3839.74731,2450.989574,4008.682886,1284.623455
02/01/2030 22:00,1663.686267,4511.379629,3410.297488,3067.459937,3541.933215,3884.356648,5641.056228,5604.308021,3487.248893,2225.982594,3640.67576,1166.691805
02/01/2030 23:00,1519.527915,4120.468754,3114.795339,2801.664649,3235.024835,3547.777291,5152.258918,5118.694942,3185.078907,2033.101286,3325.211342,1065.598004
03/01/2030 00:00,1449.772664,3931.315051,2971.807949,2673.051796,3086.518206,3384.913488,4915.73999,4883.716798,3038.865089,1939.770003,3172.564623,1016.680801
03/01/2030 01:00,1411.154824,3826.595947,2892.647398,2601.849263,3004.302098,3294.748975,4784.798592,4753.628407,2957.918326,1888.100021,3088.056482,989.5993024
03/01/2030 02:00,1361.123821,3690.92803,2790.09164,2509.603446,2897.787741,3177.93713,4615.158613,4585.093533,2853.048456,1821.159429,2978.572702,954.5141045
03/01/2030 03:00,1317.377295,3572.301587,2700.418082,2428.94478,2804.65283,3075.798217,4466.827395,4437.728607,2761.351466,1762.627357,2882.841362,923.836017
03/01/2030 04:00,1292.158533,3503.91645,2648.72355,2382.447105,2750.962915,3016.917723,4381.318209,4352.776464,2708.490477,1728.885102,2827.654672,906.1508774
03/01/2030 05:00,1335.715206,3622.028075,2738.00794,2462.755726,2843.693637,3118.613371,4529.005694,4499.501851,2799.789517,1787.163155,2922.970554,936.6958273
03/01/2030 06:00,1478.524845,4009.281675,3030.745437,2726.064293,3147.73065,3452.043767,5013.229926,4980.571643,3099.132468,1978.239908,3235.483557,1036.843817
03/01/2030 07:00,1656.959779,4493.139565,3396.509234,3055.057819,3527.612742,3868.651715,5618.248742,5581.649112,3473.149515,2216.982672,3625.956059,1161.974726
03/01/2030 08:00,1803.441856,4890.351632,3696.774658,3325.137529,3839.468256,4210.656481,6114.9251,6075.089912,3780.190255,2412.973083,3946.505527,1264.698084
03/01/2030 09:00,1913.584591,5189.023142,3922.550093,3528.215737,4073.958507,4467.816543,6488.385753,6446.117686,4011.060184,2560.3421,4187.532933,1341.937783
03/01/2030 10:00,1971.614882,5346.382542,4041.503144,3635.210425,4197.503084,4603.305037,6685.148894,6641.599029,4132.697342,2637.985596,4314.521704,1382.632634
03/01/2030 11:00,1998.792875,5420.080477,4097.213791,3685.320476,4255.364134,4666.759919,6777.301235,6733.151051,4189.665068,2674.349266,4373.995813,1401.691721
03/01/2030 12:00,2005.054272,5437.059362,4110.048679,3696.865071,4268.694441,4681.378961,6798.531735,6754.243247,4202.789567,2682.726904,4387.697745,1406.082645
03/01/2030 13:00,1989.148555,5393.928196,4077.444438,3667.538538,4234.831694,4644.242465,6744.600266,6700.66311,4169.449631,2661.445337,4352.890967,1394.928457
03/01/2030 14:00,1974.262277,5353.561422,4046.929891,3640.091621,4203.1393,4609.486147,6694.125409,6650.517067,4138.24654,2641.527764,4320.315048,1384.489171
03/01/2030 15:00,2002.992177,5431.467628,4105.821707,3693.063037,4264.30431,4676.564405,6791.539797,6747.296858,4198.467216,2679.967858,4383.185225,1404.636562
03/01/2030 16:00,2094.59234,5679.857674,4293.58776,3861.95295,4459.318036,4890.431471,7102.128204,7055.861961,4390.470103,2802.527244,4583.635573,1468.872928
03/01/2030 17:00,2159.339914,5855.432176,4426.310193,3981.332783,4597.163487,5041.603405,7321.667618,7273.971203,4526.187342,2889.158345,4725.3239,1514.278402
03/01/2030 18:00,2153.401253,5839.328446,4414.136864,3970.38324,4584.520274,5027.737884,7301.531417,7253.966178,4513.739328,2881.212523,4712.328218,1510.113803
03/01/2030 19:00,2091.687183,5671.979827,4287.632641,3856.5965,4453.133053,4883.648542,7092.277697,7046.075625,4384.38061,2798.640196,4577.278164,1466.835631
