t,EN_NorthEast,EN_NorthWest,EN_Yorkshire,EN_EastMidlands,EN_WestMidlands,EN_East,EN_London,EN_SouthEast,EN_SouthWest,EN_Wales,Scotland,NorthernIreland
01/01/2030 00:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 01:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 02:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 03:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 04:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 05:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 06:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 07:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 08:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 09:00,0.011353892,0.011116233,0.011739253,0.01229911,0.012003839,0.012683986,0.012474763,0.012851764,0.012756672,0.011707181,0.010338737,0.010850171
01/01/2030 10:00,0.066493725,0.065101884,0.068750578,0.072029363,0.07030012,0.074283378,0.073058069,0.075265969,0.07470906,0.068562748,0.060548499,0.0635437
01/01/2030 11:00,0.096219729,0.094205665,0.099485507,0.104230071,0.101727771,0.107491744,0.105718661,0.108913602,0.108107727,0.099213708,0.087616691,0.091950895
01/01/2030 12:00,0.102666944,0.100517928,0.106151546,0.11121402,0.108544054,0.114694242,0.112802353,0.116211372,0.115351499,0.105861535,0.093487458,0.098112076
01/01/2030 13:00,0.098873343,0.096803734,0.102229187,0.1071046,0.10453329,0.110456226,0.108634243,0.111917297,0.111089197,0.101949892,0.090033044,0.09448678
01/01/2030 14:00,0.06980432,0.068343181,0.072173537,0.075615566,0.073800228,0.077981805,0.07669549,0.079013317,0.07842868,0.071976355,0.063563092,0.066707418
01/01/2030 15:00,0.024032141,0.023529102,0.024847812,0.026032829,0.025407847,0.026847475,0.026404624,0.027202603,0.027001325,0.024779927,0.021883419,0.022965944
01/01/2030 16:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 17:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 18:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 19:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 20:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 21:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 22:00,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2030 23:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 00:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 01:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 02:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 03:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 04:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 05:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 06:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 07:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 08:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 09:00,0.044766817,0.043829761,0.04628624,0.048493678,0.047329467,0.050011191,0.049186253,0.050672719,0.050297781,0.046159784,0.040764201,0.042780716
02/01/2030 10:00,0.14268167,0.139695068,0.147524405,0.154559993,0.150849399,0.159396641,0.156767383,0.161505076,0.160310065,0.147121361,0.129924454,0.13635153
02/01/2030 11:00,0.237812738,0.232834861,0.245884301,0.257610772,0.25142619,0.265672189,0.261289909,0.269186395,0.267194627,0.245212533,0.216549821,0.227262063
02/01/2030 12:00,0.299043759,0.2927842,0.309193554,0.323939308,0.316162346,0.334076345,0.328565734,0.338495373,0.335990774,0.308348823,0.272306157,0.285776542
02/01/2030 13:00,0.303571065,0.29721674,0.31387452,0.328843514,0.320948814,0.339134018,0.333539981,0.343619947,0.34107743,0.313017,0.276428674,0.290102991
02/01/2030 14:00,0.236509797,0.231559193,0.244537137,0.256199361,0.250048664,0.264216611,0.259858341,0.267711563,0.265730708,0.243869051,0.215363377,0.226016928
02/01/2030 15:00,0.114787684,0.112384958,0.118683674,0.124343819,0.121358639,0.128234911,0.126119668,0.129931152,0.128969763,0.118359425,0.104524479,0.109695074
02/01/2030 16:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 17:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 18:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 19:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 20:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 21:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 22:00,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2030 23:00,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2030 00:00,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2030 01:00,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2030 02:00,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2030 03:00,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2030 04:00,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2030 05:00,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2030 06:00,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2030 07:00,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2030 08:00,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2030 09:00,0.08438538,0.082619032,0.08724949,0.091410507,0.089215972,0.094271017,0.092716011,0.095517996,0.094811238,0.087011121,0.076840455,0.080641583
03/01/2030 10:00,0.236853451,0.231895654,0.244892455,0.256571624,0.25041199,0.264600523,0.260235921,0.268100553,0.26611682,0.244223397,0.215676304,0.226345335
